"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.199008900E-2	-1.645855606E-3	-4.345133901E-3	4.008293152E-2	4.035133738E-2
4.199008900E-2	-2.528395504E-3	-4.054695368E-3	4.007530212E-2	4.035917713E-2
5.199008900E-2	-3.213185817E-3	-3.769919276E-3	4.006862640E-2	4.037365077E-2
6.199008900E-2	-3.925325349E-3	-3.389015794E-3	4.006004333E-2	4.039431494E-2
7.199008900E-2	-4.869045690E-3	-2.951413393E-3	4.004955292E-2	4.045225749E-2
8.199008900E-2	-5.371445790E-3	-2.637058496E-3	4.004287720E-2	4.048751069E-2
9.199008900E-2	-6.233932450E-3	-2.179950476E-3	4.003238678E-2	4.057346533E-2
1.019900890E-1	-7.060742006E-3	-1.792430878E-3	4.002380371E-2	4.068134400E-2
1.119900890E-1	-7.916746661E-3	-1.309037209E-3	4.001331329E-2	4.080997056E-2
1.219908390E-1	-8.648235351E-3	-8.932650089E-4	4.000377655E-2	4.093766036E-2
1.319908390E-1	-9.249804541E-3	-5.194097757E-4	3.999710083E-2	4.105601960E-2
1.419908390E-1	-9.791236371E-3	-9.165704250E-5	3.998851776E-2	4.116987082E-2
1.519908390E-1	-9.394902736E-3	1.169145107E-4	3.998565674E-2	4.107469551E-2
1.619908390E-1	-1.221187785E-2	7.922947407E-4	3.996849060E-2	4.179997527E-2
1.719908390E-1	-1.147081889E-2	8.054971695E-4	3.996944427E-2	4.159068390E-2
1.819908390E-1	-1.214759983E-2	1.073136926E-3	3.996372223E-2	4.178294986E-2
1.919908390E-1	-1.207748428E-2	1.354649663E-3	3.995895386E-2	4.176623871E-2
2.019908390E-1	-1.315632463E-2	1.764640212E-3	3.994941711E-2	4.209701605E-2
2.119908390E-1	-1.342340931E-2	1.960560679E-3	3.994655609E-2	4.218719070E-2
2.219908390E-1	-1.315296255E-2	2.105027437E-3	3.994464874E-2	4.210708405E-2
2.319911540E-1	-1.364616677E-2	2.314627171E-3	3.993988037E-2	4.227019530E-2
2.419911540E-1	-1.355029643E-2	2.499848604E-3	3.993701935E-2	4.224719270E-2
2.519911540E-1	-1.460325345E-2	2.637967467E-3	3.993320465E-2	4.260134643E-2
2.619911540E-1	-1.432796195E-2	2.739146352E-3	3.993129730E-2	4.251237374E-2
2.719911540E-1	-1.458999142E-2	2.891853452E-3	3.992843628E-2	4.260881000E-2
2.819911540E-1	-1.483297907E-2	3.009811044E-3	3.992652893E-2	4.269899229E-2
2.919911540E-1	-1.500250958E-2	3.076747060E-3	3.992462158E-2	4.276116316E-2
3.019911540E-1	-1.544713415E-2	3.199964762E-3	3.992271423E-2	4.292641191E-2
3.119911540E-1	-1.582811028E-2	3.289461136E-3	3.991985321E-2	4.306906442E-2
3.219911540E-1	-1.636077836E-2	3.498867154E-3	3.991508484E-2	4.327968505E-2
3.319911540E-1	-1.627600938E-2	3.544092178E-3	3.991508484E-2	4.325139383E-2
3.419911540E-1	-1.626629010E-2	3.570690751E-3	3.991508484E-2	4.324992513E-2
3.519911540E-1	-1.669459976E-2	3.834784031E-3	3.990936279E-2	4.343008713E-2
3.619911540E-1	-1.666125841E-2	3.852814436E-3	3.990936279E-2	4.341887780E-2
3.719913540E-1	-1.671002060E-2	3.895446658E-3	3.990936279E-2	4.344141494E-2
3.819913540E-1	-1.667930186E-2	3.869265318E-3	3.990936279E-2	4.342726751E-2
3.919913540E-1	-1.739785261E-2	4.224687815E-3	3.990173340E-2	4.373421533E-2
4.019913540E-1	-1.737528481E-2	4.303827882E-3	3.990173340E-2	4.373295994E-2
4.119913540E-1	-2.035597712E-2	-2.145618200E-4	5.665493011E-2	6.020127031E-2
4.219911540E-1	-2.512963116E-2	4.670530558E-3	8.059501648E-2	8.455098402E-2
4.319911540E-1	-4.193728045E-2	2.363011241E-3	3.749752045E-2	5.630615733E-2
4.419911540E-1	-3.359928727E-2	2.877227962E-2	5.425834656E-2	7.000517374E-2
4.519911540E-1	-3.487493098E-2	2.366146445E-2	7.581329346E-2	8.673973239E-2
4.619911540E-1	-1.908992790E-2	3.901273012E-3	2.075958252E-2	2.847113529E-2
4.719911540E-1	-2.745236084E-2	-6.101787090E-3	2.316284180E-2	3.643324253E-2
4.819913540E-1	-1.886894368E-2	1.281271875E-2	7.584095001E-2	7.919629092E-2
4.919913540E-1	-3.429140896E-2	1.480016112E-2	4.472732544E-2	5.827073999E-2
5.019913540E-1	-1.815666072E-2	2.142602205E-2	4.474163055E-2	5.282567798E-2
5.119913540E-1	-9.531499818E-3	2.792364359E-2	4.954433441E-2	5.766472433E-2
5.219913540E-1	-1.299501024E-2	3.013834357E-3	7.829475403E-2	7.942305709E-2
5.319911540E-1	-1.669521630E-2	4.804208875E-3	7.830715179E-2	8.021110080E-2
5.419911540E-1	-5.978018045E-3	4.227757454E-3	5.677223206E-2	5.724244025E-2
5.519911540E-1	-2.798669040E-3	1.425817609E-3	5.678081512E-2	5.686762234E-2
5.619911540E-1	-1.629989222E-2	9.931474924E-4	6.636810303E-2	6.834762562E-2
5.719911540E-1	-2.762177214E-2	-6.380513310E-3	5.440235138E-2	6.134565251E-2
5.819911540E-1	-2.413346991E-2	5.477413535E-3	2.088928223E-2	3.238500488E-2
5.919911540E-1	-1.820526272E-2	2.447500825E-2	8.793354034E-2	9.307397669E-2
6.019911540E-1	-3.135554492E-2	4.894822836E-3	8.315753937E-2	8.900733589E-2
6.119911540E-1	-1.329475269E-2	9.389713407E-3	3.049373627E-2	3.456566386E-2
6.219913540E-1	-2.591945231E-4	4.338964820E-3	5.205059052E-2	5.223176974E-2
6.319913540E-1	1.497874036E-2	1.582294703E-3	5.684757233E-2	5.880912173E-2
6.419913540E-1	-8.461531252E-3	-1.063469052E-2	5.685424805E-2	5.845596355E-2
6.519913540E-1	1.065993495E-2	1.340226829E-2	1.854515076E-2	2.524237756E-2
6.619913540E-1	1.544635743E-3	-3.823280334E-3	4.249668121E-2	4.269626783E-2
6.719911540E-1	-3.286682069E-3	-1.229003072E-3	8.558940887E-2	8.566130771E-2
6.819911540E-1	-3.320138901E-3	-1.549966633E-2	4.967498779E-2	5.214275972E-2
6.919911540E-1	-1.533137634E-2	3.678545356E-3	4.249191284E-2	4.532268145E-2
7.019911540E-1	-1.058826223E-2	2.538193762E-2	5.685329437E-2	6.315576882E-2
7.119911540E-1	-2.258511633E-2	2.302056551E-2	7.361316681E-2	8.036748250E-2
7.219911540E-1	-1.958213374E-2	2.739760280E-2	5.446910858E-2	6.403883502E-2
7.319913540E-1	-1.141271740E-2	1.446041465E-2	6.406593323E-2	6.666181449E-2
7.419913540E-1	6.341561675E-3	-5.545020103E-3	4.971981049E-2	5.042838692E-2
7.519913540E-1	-2.963244915E-4	-8.473485708E-3	6.649017334E-2	6.702858285E-2
7.619913540E-1	-1.465457305E-2	5.873739719E-3	5.930900574E-2	6.137438791E-2
7.719913540E-1	4.523616284E-3	5.953013897E-3	4.733562469E-2	4.792246701E-2
7.819911540E-1	-1.940137520E-2	1.802107692E-2	5.930614471E-2	6.494914452E-2
7.919911540E-1	-2.153859660E-2	-1.418262720E-3	6.649398804E-2	6.990974938E-2
8.019911540E-1	3.114387393E-3	-2.084130049E-2	5.453109741E-2	5.846109646E-2
8.119911540E-1	-3.475194797E-2	-8.837848902E-3	6.171417236E-2	7.137537763E-2
8.219911540E-1	4.747502506E-3	1.051895320E-2	2.580356598E-2	2.826678570E-2
8.319911540E-1	3.061443567E-3	8.919835091E-4	7.608604431E-2	7.615283455E-2
8.419911540E-1	1.805132441E-2	1.999515295E-2	6.172466278E-2	6.734679243E-2
8.519911540E-1	6.171334535E-3	9.867891669E-3	5.934047699E-2	6.047109115E-2
8.619911540E-1	1.105749235E-2	3.195703030E-4	6.891727448E-2	6.979943397E-2
8.719913540E-1	-1.526245475E-2	-1.873718202E-2	4.976177216E-2	5.531960306E-2
8.819913540E-1	-1.052016020E-2	1.007999480E-2	6.651973724E-2	6.809666298E-2
8.919913540E-1	-1.049504429E-2	1.729789376E-2	5.933761597E-2	6.269223040E-2
9.019913540E-1	-1.519767940E-2	2.845570445E-3	5.933856964E-2	6.131991991E-2
9.119913540E-1	-5.173023790E-3	7.359907031E-3	4.498100281E-2	4.587176714E-2
9.219911540E-1	1.201716065E-2	-1.212103665E-2	6.892967224E-2	7.101148777E-2
9.319911540E-1	-1.908654720E-2	-7.298439741E-3	4.977607727E-2	5.380726136E-2
9.419911540E-1	-1.141650975E-2	-1.196505129E-2	8.090019226E-2	8.257324176E-2
9.519911540E-1	2.490934730E-2	-9.266361594E-3	5.216693878E-2	5.854682350E-2
9.619911540E-1	-3.840349615E-3	5.133315921E-3	5.695533752E-2	5.731500406E-2
